customer_id,email,signup_date,gender,region,loyalty_tier
C00001,shaneramirez@gmail.com,26-04-25,MALE,Central,SILVER
C00002,jpeterson@bernard.com,11-08-24,FEMALE,Central,GOLD
C00003,howardmaurice@yahoo.com,15-05-25,MALE,Central,GOLD
C00004,yherrera@arnold.org,14-06-25,FEMALE,Central,GOLD
C00005,janetwilliams@gmail.com,02-05-25,MALE,West,BRONZE
C00006,wyattmichelle@yahoo.com,21-10-24,MALE,Central,BRONZE
C00007,francisco53@hotmail.com,17-10-24,FEMALE,North,GOLD
C00008,amandasanchez@gray-mayo.net,29-09-24,MALE,Central,GOLD
C00009,perezantonio@yahoo.com,08-12-24,FEMALE,South,SILVER
C00010,clarksherri@hotmail.com,05-11-24,MALE,East,GOLD
C00011,pfoster@thomas-taylor.net,31-01-25,Other,East,SILVER
C00012,zhurst@yahoo.com,29-09-24,FEMALE,North,SILVER
C00013,ddavis@hernandez.biz,22-02-25,FEMALE,West,GOLD
C00014,djames@king.com,27-03-25,Other,Central,GOLD
C00015,daniel62@yahoo.com,07-07-24,FEMALE,Central,BRONZE
C00016,williamrodriguez@hotmail.com,29-10-24,Other,North,GOLD
C00017,nathanielmartin@sellers.com,,MALE,West,GOLD
C00018,john39@gmail.com,08-08-24,FEMALE,North,BRONZE
C00019,spenceamanda@gmail.com,24-08-24,FEMALE,East,GOLD
C00020,josephbrennan@yahoo.com,26-09-24,FEMALE,East,GOLD
C00021,raymond57@hayes.com,19-02-25,MALE,South,SILVER
C00022,adrianzimmerman@perez.com,02-08-24,FEMALE,West,SILVER
C00023,elizabeth38@cummings.org,05-01-25,MALE,East,GOLD
C00024,maguirre@davis.com,17-12-24,FEMALE,West,SILVER
C00025,dshields@hotmail.com,16-03-25,FEMALE,North,GOLD
C00026,powellmatthew@wright.net,27-12-24,FEMALE,North,GOLD
C00027,dwhite@baxter.info,15-05-25,MALE,North,GOLD
C00028,pearsonamber@novak.com,10-12-24,FEMALE,North,GOLD
C00029,zlewis@gmail.com,07-09-24,MALE,North,SILVER
C00030,gallowayjoseph@yahoo.com,24-10-24,MALE,North,GOLD
C00031,smoore@gmail.com,28-07-24,FEMALE,Central,GOLD
C00032,brian97@calhoun.net,06-08-24,FEMALE,East,GOLD
C00033,larsonemma@powell.com,15-02-25,Other,North,GOLD
C00034,barnesbrandy@stewart.com,06-10-24,FEMALE,Central,GOLD
C00035,panderson@yahoo.com,30-12-24,Other,South,SILVER
C00036,smithchristine@hotmail.com,13-08-24,MALE,West,BRONZE
C00037,williamanderson@ibarra-suarez.com,24-10-24,FEMALE,East,GOLD
C00038,tbass@carr-archer.net,09-07-24,FEMALE,East,GOLD
C00039,mcmillandennis@gmail.com,16-06-25,Other,South,SILVER
C00040,josephjacobs@cooper.net,11-01-25,FEMALE,East,GOLD
C00041,davisrodney@yahoo.com,23-07-24,MALE,North,BRONZE
C00042,kellie42@ramos.com,04-08-24,FEMALE,West,BRONZE
